russian,rsl
Два раза внимательно проверяй все, ДВАЖДЫ ХОРОШО ПРОВЕРИТЬ ВСЕ 
В воскресенье нужно отдыхать, ВОСКРЕСЕНЬЕ НЕОБХОДИМЫЙ НАСЛАЖДАЙСЯ 
Заботу проявляют кормя маленького ребёнка, ЗАБОТА ДЕЛАТЬ КОРМИТЬ МАЛЕНЬКИЙ РЕБЕНОК
Кролики любят лакомиться, КРОЛИК ЛЮБИТЬ ЕСТЬ 
Ранний вечер быстро сменяется тёмной ночью, РАННИЙ ВЕЧЕР БЫСТРО ИЗМЕНИТЬ ТЁМНЫЙ НОЧЬ
Работая над собой мы развиваем важные личные качества, РАБОТАТЬ НАД Я МЫ ИЗМЕНИТЬ ВАЖНЫЙ ЛИЧНЫЕ КАЧЕСТВА
Слишком много дел отвлекает нас от важного занятия, СЛИШКОМ МНОГО ДЕЛАТЬ НЕ ПОМОЧЬ НАС ОТ ВАЖНЫЙ ДЕЛАТь
Неподвижная собака спокойно лежала возле дома, СПОКОЙНЫЙ СОБАКА СПОКОЙНЫЙ ЛЕЖАТЬ ОКОЛО ДОМ
Я обещал помочь тебе, Я ОБЕЩАТЬ ПОМОЧЬ ТЕБЕ
Голодная белка находится около дома, ГОЛОДНЫЙ БЕЛКА БЫТЬ ОКОЛО ДОМ
Строгий человек распределил деньги, СТРОГИЙ ЧЕЛОВЕК РАСПРЕДЕЛЯТЬ ДЕНЬГИ 
Очень хочется встретить моего друга завтра, ОЧЕНЬ ХОТЕТЬ ВСТРЕТИТЬ МОЙ ДРУГ ЗАВТРА
Огромный медведь был на солнце после зимней спячки, БОЛЬШОЙ МЕДВЕДЬ БЫТЬ СОЛНЦЕ 
Девочка была смущённым и робким, ДЕВОЧКА БЫТЬ СМУЩЕННЫЙ 
По вечерам семья накрывает на стол, ВЕЧЕР СЕМЬЯ НАКРЫВАТЬ НА СТОЛ 
Я купил билет в зоопарк, Я КУПИТЬ БИЛЕТ В ЗООПАРК
Проявляя доброту человек обретает счастье, ДЕЛАТЬ ДОБРОТА ЧЕЛОВЕК ПОЛУЧИТЬ СЧАСТЬЕ 
Кошка искала тёплый уголок, КОШКА ИСКАТЬ ТЁПЛЫЙ МЕСТО
Потрясённый гость потерял дар речи, БЫТЬ ПОТРЯСЕННЫМ ЧЕЛОВЕК НЕ ГОВОРИТЬ 
Пять тысяч рублей хватит на простую жизнь, ПЯТЬ ТЫСЯЧ РУБЛЬ ДОСТАТОЧНО ОБЫЧНЫЙ ЖИЗНЬ
Странная птица сидела неподвижно высоко, СТРАННЫЙ ПТИЦА БЫТЬ СПОКОЙНЫЙ ВЫСОКИЙ
Быстрая собака, БЫСТРЫЙ СОБАКА 
Собраться в выходной день приятно и весело, ВСТРЕТИТЬ ВЫХОДНЫЕ ПРИЯТНЫЙ И ВЕСЕЛЫЙ
Многочисленные друзья пришли к подруге, МНОГО ДРУГ ПРИЙТИ ПОДРУГА
За столом весело беседовали подруги, СТОЛ ВЕСЕЛЫЙ ГОВОРИТЬ ПОДРУГА
Весёлая еда была приготовлена, ВЕСЕЛЫЙ ЕДА БЫТЬ ГОТОВЫЙ  
Парень работал усердно весь день, МАЛЬЧИК РАБОТАТЬ ХОРОШО ВЕСЬ ДЕНЬ
Цветовая гамма весеннего пейзажа радует глаз, ЦВЕТОВОЙ ОТТЕНОК ВЕСНА ПРИЯТНЫЙ ГЛАЗ
Красивая картина висела дома, КРАСИВЫЙ КАРТИНА БЫТЬ ДОМ
Предложенная закуска оказалась испорченной, ПРЕДЛОЖИТЬ ЗАКУСКА ПЕРЕД ЕДОЙ БЫТЬ ИСПОРЧЕННЫЙ
Опытный повар готовит блюда вкусно и аккуратно, ОПЫТНЫЙ ПОВАР ДЕЛАТЬ ЕДА ВКУСНЫЙ И АККУРАТНЫЙ
Терпение человека сильное, ТЕРПЕНИЕ ЧЕЛОВЕК СИЛЬНЫЙ 
Накануне вечером появился новый двуг, ВЕЧЕР ПРИЙТИ НОВЫЙ ДРУГ
Вечером девочки отправились на улицу, ВЕЧЕР ДЕВОЧКА ИДТИ УЛИЦА 
Недавно купленная книга понравилась читателю, НОВЫЙ КНИГА НРАВИТСЯ ЧЕЛОВЕК
Выходные поможет расслабиться, ВЫХОДНЫЕ ПОМОЧЬ РАССЛАБИТЬСЯ 
Мужчина ждал свою подругу на улице, МУЖЧИНА ЖДАТЬ ПОДРУГА УЛИЦА
Мальчики играли на улице, МАЛЬЧИК ИГРАТЬ УЛИЦА
Девочки играли на улице, ДЕВОЧКА ИГРАТЬ УЛИЦА
Друг находился на улице, ДРУГ БЫТЬ УЛИЦА
Подруга находится в зоопарке, ПОДРУГА БЫТЬ ЗООПАРК
Я люблю подругу, Я ЛЮБИТЬ ПОДРУГА
Мы идем во вторник в зоопарк, МЫ ИДТИ ЗООПАРК ВТОРНИК
Я хочу выпить воды, Я ХОТЕТЬ ПИТЬ ВОДА
Купи питьевой воды, КУПИТЬ ПИТЬЕВАЯ ВОДА
Пятитысячная сумма – это большие деньги, ПЯТЬ ТЫСЯЧ ЭТО БОЛЬШОЙ ДЕНЬГИ
Я не заметил простой ошибки, Я НЕ ВИДЕТЬ ЛЕГКИЙ ОШИБКА
В зоопарке мы видели медведей павлинов пингвинов и обезьян, ЗООПАРК МЫ ВИДЕТЬ МЕДВЕДЬ ПАВЛИН ПИНГВИН И ОБЕЗЬЯНА
Большой красивый павлин расправил перья, БОЛЬШОЙ КРАСИВЫЙ ПАВЛИН ПОКАЗАТЬ ПЕРО
Населять города помогают люди, НАСЕЛЯТЬ ГОРОД ПОМОЧЬ ЛЮДИ
Пойдем на улицу, ИДТИ УЛИЦА
Красивый портрет жены висел дома, КРАСИВЫЙ КАРТИНА ЖЕНА БЫТЬ ДОМА
Маленькая девочка смотрела на грустную кошку, МАЛЕНЬКИЙ ДЕВОЧКА СМОТРЕТЬ ГРУСТНЫЙ КОШКА
Я хочу купить кошку, Я ХОТЕТЬ КУПИТЬ КОШКА
Собака - друг человека, СОБАКА ДРУГ ЧЕЛОВЕК
Люди привезли свежий еду, ЧЕЛОВЕК ПРИВЕЗТИ ЕДА
У меня есть кошка и собака, Я ИМЕТЬ КОШКА И СОБАКА
Я обедаю регулярно чтобы не голодать, Я ОБЕДАТЬ ВСЕГДА НЕ ИСПЫТЫВАТЬ ГОЛОД
Кошка хочет есть, КОШКА ХОТЕТЬ ЕСТЬ
Моему другу шестьдесят лет, МОЙ ДРУГ ШЕСТЬДЕСЯТ ЛЕТ 
